TIME ms, IN2
-0.293, 0.727211
-0.303, 0.903725
-0.313, 1.016029
-0.322, 1.056801
-0.332, 1.024086
-0.342, 0.75309
-0.352, 0.535316
-0.361, 0.281166
-0.371, 0.000893
-0.381, -0.285484
-0.391, -0.79232
-0.4, -0.974693
-0.41, -1.092125
-0.42, -1.136803
-0.43, -1.106285
-0.439, -1.003014
-0.449, -0.615807
-0.459, -0.358238
-0.469, -0.077232
-0.479, 0.212318
-0.488, 0.492592
-0.498, 0.935707
-0.508, 1.065102
-0.518, 1.119545
-0.527, 1.095619
-0.537, 0.996254
-0.547, 0.60392
-0.557, 0.340248
-0.566, 0.047523
-0.576, -0.255211
-0.586, -0.545738
-0.596, -1.001549
-0.605, -1.136315
-0.615, -1.195152
-0.625, -1.174645
-0.635, -1.076744
-0.645, -0.684654
-0.654, -0.418297
-0.664, -0.125572
-0.674, 0.179115
-0.684, 0.476723
-0.693, 0.743568
-0.703, 1.105385
-0.713, 1.175209
-0.723, 1.162514
-0.732, 1.068764
-0.742, 0.901771
-0.752, 0.40226
-0.762, 0.099525
-0.771, -0.217369
-0.781, -0.525475
-0.791, -0.7994
-0.801, -1.172447
-0.811, -1.246422
-0.82, -1.237633
-0.83, -1.147057
-0.84, -0.982262
-0.85, -0.481773
-0.859, -0.178551
-0.869, 0.139076
-0.879, 0.453285
-0.889, 0.738686
-0.898, 1.137611
-0.908, 1.223305
-0.918, 1.22306
-0.928, 1.137855
-0.938, 0.974525
-0.947, 0.745033
-0.957, 0.155189
-0.967, -0.174156
-0.977, -0.498375
-0.986, -0.790611
-0.996, -1.029625
-1.006, -1.290611
-1.016, -1.294762
-1.025, -1.213463
-1.035, -1.052574
-1.045, -0.825035
-1.055, -0.234947
-1.064, 0.094154
-1.074, 0.422768
-1.084, 0.725746
-1.094, 0.977943
-1.104, 1.263832
-1.113, 1.277504
-1.123, 1.202309
-1.133, 1.044105
-1.143, 0.815346
-1.152, 0.214027
-1.162, -0.126061
-1.172, -0.464684
-1.182, -0.77401
-1.191, -1.031334
-1.201, -1.220055
-1.211, -1.345543
-1.221, -1.274986
-1.23, -1.120445
-1.24, -0.894371
-1.25, -0.612633
-1.26, 0.044594
-1.27, 0.386635
-1.279, 0.705727
-1.289, 0.976234
-1.299, 1.178139
-1.309, 1.325844
-1.318, 1.262367
-1.328, 1.111244
-1.338, 0.884926
-1.348, 0.59977
-1.357, -0.073326
-1.367, -0.424889
-1.377, -0.750572
-1.387, -1.025719
-1.396, -1.23275
-1.406, -1.390709
-1.416, -1.331871
-1.426, -1.185631
-1.436, -0.962486
-1.445, -0.680016
-1.455, -0.356285
-1.465, 0.344154
-1.475, 0.678627
-1.484, 0.966469
-1.494, 1.186684
-1.504, 1.323891
-1.514, 1.317299
-1.523, 1.175453
-1.533, 0.953529
-1.543, 0.668129
-1.553, 0.33976
-1.563, -0.379479
-1.572, -0.720299
-1.582, -1.013023
-1.592, -1.238365
-1.602, -1.380455
-1.611, -1.384361
-1.621, -1.247398
-1.631, -1.029869
-1.641, -0.747887
-1.65, -0.420738
-1.66, 0.296547
-1.67, 0.645424
-1.68, 0.950111
-1.689, 1.188637
-1.699, 1.34391
-1.709, 1.405189
-1.719, 1.236732
-1.729, 1.020668
-1.738, 0.736732
-1.748, 0.405678
-1.758, 0.043617
-1.768, -0.684166
-1.777, -0.993248
-1.787, -1.236656
-1.797, -1.396813
-1.807, -1.463463
-1.816, -1.306236
-1.826, -1.095543
-1.836, -0.815758
-1.846, -0.486656
-1.855, -0.127281
-1.865, 0.606117
-1.875, 0.927162
-1.885, 1.18351
-1.895, 1.357094
-1.904, 1.435707
-1.914, 1.294105
-1.924, 1.086098
-1.934, 0.805336
-1.943, 0.472572
-1.953, 0.10685
-1.963, -0.274254
-1.973, -0.967369
-1.982, -1.228356
-1.992, -1.406822
-2.002, -1.491539
-2.012, -1.475426
-2.021, -1.15902
-2.031, -0.883385
-2.041, -0.553795
-2.051, -0.191002
-2.061, 0.188148
-2.07, 0.897621
-2.08, 1.171547
-2.09, 1.363685
-2.1, 1.460365
-2.109, 1.454994
-2.119, 1.149574
-2.129, 0.873695
-2.139, 0.540932
-2.148, 0.172279
-2.158, -0.21566
-2.168, -0.595299
-2.178, -1.213707
-2.188, -1.410484
-2.197, -1.513268
-2.207, -1.513756
-2.217, -1.41317
-2.227, -0.950279
-2.236, -0.621666
-2.246, -0.255943
-2.256, 0.128578
-2.266, 0.511879
-2.275, 1.153236
-2.285, 1.363685
-2.295, 1.47892
-2.305, 1.490639
-2.314, 1.398598
-2.324, 0.941078
-2.334, 0.610023
-2.344, 0.239906
-2.354, -0.153648
-2.363, -0.543541
-2.373, -1.193199
-2.383, -1.408287
-2.393, -1.529381
-2.402, -1.546959
-2.412, -1.461266
-2.422, -1.279869
-2.432, -0.690514
-2.441, -0.32357
-2.451, 0.065834
-2.461, 0.45768
-2.471, 0.822182
-2.48, 1.358314
-2.49, 1.492348
-2.5, 1.521644
-2.51, 1.445228
-2.52, 1.268959
-2.529, 0.679359
-2.539, 0.308754
-2.549, -0.088463
-2.559, -0.487633
-2.568, -0.855797
-2.578, -1.399986
-2.588, -1.539635
-2.598, -1.575279
-2.607, -1.505455
-2.617, -1.336266
-2.627, -0.759361
-2.637, -0.39193
-2.646, 0.000648
-2.656, 0.399818
-2.666, 0.776771
-2.676, 1.100014
-2.686, 1.499672
-2.695, 1.547768
-2.705, 1.487221
-2.715, 1.324623
-2.725, 1.072426
-2.734, 0.378578
-2.744, -0.02108
-2.754, -0.427574
-2.764, -0.808189
-2.773, -1.135094
-2.783, -1.544273
-2.793, -1.598473
-2.803, -1.545494
-2.813, -1.389732
-2.822, -1.144615
-2.832, -0.46151
-2.842, -0.06649
-2.852, 0.338539
-2.861, 0.726723
-2.871, 1.065102
-2.881, 1.501381
-2.891, 1.568519
-2.9, 1.525307
-2.91, 1.376869
-2.92, 1.13517
-2.93, 0.818031
-2.939, 0.048012
-2.949, -0.364586
-2.959, -0.756676
-2.969, -1.098229
-2.979, -1.366783
-2.988, -1.617027
-2.998, -1.581139
-3.008, -1.44027
-3.018, -1.206139
-3.027, -0.895592
-3.037, -0.135582
-3.047, 0.27433
-3.057, 0.672279
-3.066, 1.025307
-3.076, 1.307045
-3.086, 1.584389
-3.096, 1.559242
-3.105, 1.426185
-3.115, 1.196205
-3.125, 0.886391
-3.135, 0.119057
-3.145, -0.298424
-3.154, -0.701012
-3.164, -1.056725
-3.174, -1.342125
-3.184, -1.537926
-3.193, -1.612633
-3.203, -1.487389
-3.213, -1.265221
-3.223, -0.962975
-3.232, -0.602379
-3.242, 0.207436
-3.252, 0.614174
-3.262, 0.980629
-3.271, 1.279213
-3.281, 1.48893
-3.291, 1.588539
-3.301, 1.47184
-3.311, 1.255043
-3.32, 0.953773
-3.33, 0.591469
-3.34, -0.229576
-3.35, -0.641441
-3.359, -1.010582
-3.369, -1.312584
-3.379, -1.52694
-3.389, -1.639244
-3.398, -1.530846
-3.408, -1.321861
-3.418, -1.029137
-3.428, -0.67318
-3.438, -0.277428
-3.447, 0.55265
-3.457, 0.931557
-3.467, 1.246498
-3.477, 1.475014
-3.486, 1.600502
-3.496, 1.513832
-3.506, 1.310951
-3.516, 1.019935
-3.525, 0.662514
-3.535, 0.263832
-3.545, -0.578697
-3.555, -0.960045
-3.564, -1.27816
-3.574, -1.51107
-3.584, -1.64193
-3.594, -1.570885
-3.604, -1.376061
-3.613, -1.09359
-3.623, -0.743492
-3.633, -0.349693
-3.643, 0.487953
-3.652, 0.878822
-3.662, 1.209144
-3.672, 1.455482
-3.682, 1.60099
-3.691, 1.633461
-3.701, 1.36393
-3.711, 1.084389
-3.721, 0.733803
-3.73, 0.337318
-3.74, -0.086754
-3.75, -0.90609
-3.76, -1.239342
-3.77, -1.48983
-3.779, -1.640221
-3.789, -1.679772
-3.799, -1.427574
-3.809, -1.156334
-3.818, -0.813561
-3.828, -0.422203
-3.838, -0.004479
-3.848, 0.822426
-3.857, 1.167152
-3.867, 1.431312
-3.877, 1.596596
-3.887, 1.64933
-3.896, 1.586586
-3.906, 1.146889
-3.916, 0.804115
-3.926, 0.410561
-3.936, -0.013023
-3.945, -0.444176
-3.955, -1.196129
-3.965, -1.464195
-3.975, -1.634117
-3.984, -1.693688
-3.994, -1.639
-4.004, -1.217125
-4.014, -0.882652
-4.023, -0.495201
-4.033, -0.077477
-4.043, 0.351234
-4.053, 1.121254
-4.063, 1.402748
-4.072, 1.587318
-4.082, 1.660316
-4.092, 1.617103
-4.102, 1.207435
-4.111, 0.873695
-4.121, 0.484291
-4.131, 0.061928
-4.141, -0.373375
-4.15, -0.787193
-4.16, -1.434166
-4.17, -1.623375
-4.18, -1.702477
-4.189, -1.66732
-4.199, -1.52108
-4.209, -0.950523
-4.219, -0.567955
-4.229, -0.151451
-4.238, 0.279701
-4.248, 0.699135
-4.258, 1.369789
-4.268, 1.573646
-4.277, 1.667152
-4.287, 1.643227
-4.297, 1.505287
-4.307, 0.941566
-4.316, 0.557533
-4.326, 0.137367
-4.336, -0.300377
-4.346, -0.722984
-4.355, -1.399498
-4.365, -1.60775
-4.375, -1.707359
-4.385, -1.69149
-4.395, -1.563072
-4.404, -1.332115
-4.414, -0.640709
-4.424, -0.226158
-4.434, 0.206459
-4.443, 0.633217
-4.453, 1.017982
-4.463, 1.555092
-4.473, 1.668861
-4.482, 1.665443
-4.492, 1.546059
-4.502, 1.321205
-4.512, 0.630531
-4.521, 0.213051
-4.531, -0.226158
-4.541, -0.656334
-4.551, -1.043053
-4.561, -1.587731
-4.57, -1.707359
-4.58, -1.711754
-4.59, -1.601402
-4.6, -1.385826
-4.609, -0.712486
-4.619, -0.301109
-4.629, 0.131996
-4.639, 0.564369
-4.648, 0.960609
-4.658, 1.290687
-4.668, 1.66642
-4.678, 1.68351
-4.688, 1.582924
-4.697, 1.374184
-4.707, 1.073891
-4.717, 0.288979
-4.727, -0.15023
-4.736, -0.586754
-4.746, -0.984947
-4.756, -1.317955
-4.766, -1.702721
-4.775, -1.727623
-4.785, -1.636315
-4.795, -1.436852
-4.805, -1.145836
-4.814, -0.376061
-4.824, 0.056801
-4.834, 0.493568
-4.844, 0.900551
-4.854, 1.245521
-4.863, 1.65934
-4.873, 1.697426
-4.883, 1.615883
-4.893, 1.423988
-4.902, 1.136879
-4.912, 0.775063
-4.922, -0.073326
-4.932, -0.514977
-4.941, -0.923912
-4.951, -1.271568
-4.961, -1.534508
-4.971, -1.73983
-4.98, -1.66732
-4.99, -1.485436
